Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896496972111;GRANOLA M.TERRA FRUTAS&MEL 800G;1;UN;29,9;29,90;
7896066301242;PAO FREEK/NOZ WICKBOLD INT 400G;1;UN;9,79;9,79;
7891024116128;ESC D COLGATE E.CLEAN C/3;1;UN;23,65;23,65;
7891024183021;FIO DENT COLGATE MENT 50M;1;UN;10,99;10,99;
7898327431286;P H ELITE ULTRA DUPL L16P15 30M;1;UN;24,9;24,90;
7896098905906;SABAO YPE GLIC NEUTRO 180G C/5;1;UN;18,9;18,90;
7891150069121;L ROUP PO OMO L.PERFEITA 2,2KG;1;UN;37,8;37,80;
7891150070950;AMAC COMFORT EXPLOSAO AZUL 3L;1;UN;25,98;25,98;
7891024194607;DESINF PINHO SOL ORIGINAL 1L;1;UN;12,98;12,98;
7896331100143;MANT AVIACAO EXTRA C/SAL 200G;1;UN;13,5;13,50;
7804330001736;VH 120 C.SAUV/CARM RES ESP 750ML;1;UN;54,9;54,90;
Valor total R$;263,29;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
