Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
9022;PALOMA F.SIMPLES 30MT C/16;1;UN;12,9;12,90;
10551;GUARDANAPO MILI 22X22CM;2;UN;1,79;3,58;
51528;CERVEJA AMSTEL PURO MALTE 473ML;1;UN;3,99;3,99;
12419;CERVEJA BUDWEISER LATA 350ML;1;UN;3,79;3,79;
46907;CERVEJA ESTRELLA GALICIA 473ML;1;UN;4,29;4,29;
49985;CERVEJA SPATEN 350ML;1;UN;3,79;3,79;
51803;CERVEJA EISENBAHN PILSEN 473ML;1;UN;4,29;4,29;
23500;CERVEJA SKOL LATAO 473ML;1;UN;3,69;3,69;
26936;CREME DENTAL CLOSEUP TRIPLE 70G;2;UN;2,65;5,30;
26935;CREME DENTAL CLOSEUP TRIPLE HORTELAN;2;UN;2,65;5,30;
48602;ESCOVA DENTAL CLASSIC MEDIA L3 P2;1;UN;12,4;12,40;
5878;SABONETE NIVEA AVEIA 85GR;2;UN;2,49;4,98;
8608;SABONETE NIVEA TOQUE BAUNILHA 85GR;2;UN;2,49;4,98;
11724;SABONETE NIVEA ORQUIDEAS 90G;1;UN;2,49;2,49;
10372;SABONETE NIVEA ERVA LIMAO E OLEOS 85GR;1;UN;2,49;2,49;
41161;SHAMPOO DOVE OLEO E NUTRICAO;1;UN;11,98;11,98;
41161;SHAMPOO DOVE OLEO E NUTRICAO;1;UN;11,98;11,98;
42983;KELLOGG S CRACKER 200GR;2;UN;3,99;7,98;
790236;DETERGENTE LIMPOL CRISTAL 500ML;2;UN;2,55;5,10;
41123;HAVAIANAS TOP FERRUGEM 37/38;1;UN;22,9;22,90;
47226;HAVAIANAS TOP ROSE GOLD 39/40;1;UN;22,9;22,90;
40027;DOCE GOMA DOCILE GOMOS;1;UN;3,9;3,90;
10771;BALA BANANA INDIA 200GR;1;UN;4,3;4,30;
14814;SAGU LAGES 500G;2;UN;5,9;11,80;
10589;GUARANA ANTARCTICA C/2;1;UN;5,99;5,99;
6960;OLEO DE SOJA PRIMOR 900ML;2;UN;10,49;20,98;
10114;ERVILHA FUGINI 170GR;1;UN;2,59;2,59;
47129;CEBOLA EM CONSERVA PETRY TINTA 300 GR;1;UN;9,19;9,19;
23855;ESMALTE RISQUE SUFLE DE GOIABA;1;UN;5,29;5,29;
791568;SABAO YPE NEUTRO 900GR;1;UN;12,9;12,90;
5642;ESPONJA TININDO C/4UN;1;UN;3,98;3,98;
21755;AMACIANTE GIRANDO SOL BRANCO 2LT;1;UN;6,49;6,49;
15000;MOLHO TOMATE QUERO SACHE 340GR;2;UN;1,59;3,18;
790235;MOLHO TOMATE PREDILECTA 340G;1;UN;1,79;1,79;
1679;AGUA SANITARIA GIRANDO SOL 2L;1;TB;4,99;4,99;
29227;ALFACE;2;UN;3,29;6,58;
11085;LAVA ROUPAS TIXAN YPE 1,7KG;1;UN;15,95;15,95;
21784;LENTILHA YOKI 500G;2;UN;5,99;11,98;
533225;FARINHA MILHO DE CONTI FINA KG;2;UN;5,19;10,38;
31548;ACUCAR SANTA ISABEL 5KG;1;UN;19,95;19,95;
41432;FARINHA ORQUIDEA PAES 5KG;1;UN;22,99;22,99;
Valor total R$;346,30;
Estabelecimento;NERVIS & CIA LTDA;
